Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2,1,1035000,2,2.5,3067,2,1,0,156,79,1900,30,-37.8079,144.9934,3,4019
3,1,1465000,4,2.5,3067,3,2,0,134,150,1900,30,-37.8093,144.9944,3,4019
4,1,1600000,5,2.5,3067,3,1,2,120,142,2014,30,-37.8072,144.9941,3,4019
3,1,1876000,2,2.5,3067,4,2,0,245,210,1910,30,-37.8024,144.9993,3,4019
2,1,1636000,2,2.5,3067,2,1,2,256,107,1890,30,-37.806,144.9954,3,4019
2,1,1097000,2,2.5,3067,3,1,2,220,75,1900,30,-37.801,144.9989,3,4019
3,1,1350000,5,2.5,3067,3,2,2,214,190,2005,30,-37.8085,144.9964,3,4019
2,3,750000,2,2.5,3067,2,2,1,0,94,2009,30,-37.8078,144.9965,3,4019
2,1,1310000,2,2.5,3067,2,1,2,238,97,1890,30,-37.809,144.9976,3,4019
3,1,1200000,2,2.5,3067,3,2,1,113,110,1880,30,-37.8056,144.993,3,4019
3,1,1176500,2,2.5,3067,2,1,1,138,105,1890,30,-37.8021,144.9965,3,4019
2,1,890000,2,2.5,3067,2,1,1,150,73,1985,30,-37.8011,145.0004,3,4019
4,1,1330000,1,2.5,3067,4,2,2,780,135,1900,30,-37.8073,144.9952,3,4019
2,3,500000,2,2.5,3067,2,1,1,0,60,1970,30,-37.8015,144.9972,3,4019
2,1,1100000,1,2.5,3067,2,2,1,124,135,2013,30,-37.8079,144.9977,3,4019
2,1,1315000,2,2.5,3067,2,1,0,147,85,1900,30,-37.808,144.994,3,4019
3,1,1447500,1,2.5,3067,3,3,1,166,174,2012,30,-37.8017,145.0001,3,4019
2,1,1135000,2,2.5,3067,2,2,2,98,128,1920,30,-37.8005,144.9952,3,4019
3,1,1290000,2,2.5,3067,3,1,1,168,124,1950,30,-37.8007,144.9958,3,4019
1,3,470000,2,2.5,3067,1,1,1,0,50,2013,30,-37.8055,144.9961,3,4019
2,1,1180000,2,2.5,3067,2,1,0,162,91,1900,30,-37.8016,144.9956,3,4019
3,1,1195000,4,2.5,3067,3,2,1,120,128,1998,30,-37.8022,144.9954,3,4019
2,1,1012500,2,2.5,3067,2,1,0,182,82,1900,30,-37.8021,144.9976,3,4019
2,1,1030000,2,2.5,3067,2,1,1,172,81,1930,30,-37.8086,144.9946,3,4019
3,2,840000,1,13.5,3042,3,2,1,303,225,2016,22,-37.718,144.878,7,3464
3,1,730000,5,13.5,3042,3,2,1,0,145,1965,22,-37.7203,144.8755,7,3464
3,1,770000,4,13.5,3042,3,2,1,0,145,1965,22,-37.7203,144.8755,7,3464
2,1,603000,2,13.5,3042,2,1,1,272,84,1950,22,-37.7294,144.888,7,3464
3,2,700000,2,13.5,3042,3,2,2,239,134,2009,22,-37.7218,144.8837,7,3464
3,1,600000,2,13.5,3042,2,1,1,290,116,1980,22,-37.7273,144.8744,7,3464
2,3,500000,5,13.5,3042,2,1,1,168,86,2011,22,-37.7215,144.8864,7,3464
6,1,725000,4,13.5,3042,6,3,2,976,186,1980,22,-37.7239,144.8735,7,3464
2,2,450000,2,13.5,3042,2,1,1,110,90,2015,22,-37.7216,144.871,7,3464
2,3,515000,2,13.5,3042,2,1,1,141,73,2013,22,-37.7298,144.8883,7,3464
2,3,530000,2,13.5,3042,2,1,1,120,94,2012,22,-37.7234,144.8792,7,3464
3,1,895000,1,13.5,3042,3,1,6,1063,133,1975,22,-37.7249,144.8728,7,3464
3,1,805000,2,13.5,3042,3,1,1,0,105,1950,22,-37.7217,144.8783,7,3464
3,3,752000,2,13.5,3042,3,1,1,265,130,1993,22,-37.7302,144.8855,7,3464
3,2,700000,1,13.5,3042,3,2,2,165,133,2009,22,-37.727,144.887,7,3464
3,1,830000,2,13.5,3042,3,1,2,971,113,1960,22,-37.7186,144.876,7,3464
2,1,675000,2,13.5,3042,2,1,1,612,100,1975,22,-37.7187,144.8765,7,3464
3,1,1042000,2,13.5,3042,3,2,5,612,174,1950,22,-37.7173,144.8796,7,3464
4,1,773000,2,13.5,3042,5,3,4,531,309,1980,22,-37.7263,144.8679,7,3464
3,1,810000,1,13.5,3042,3,3,2,555,192,1980,22,-37.7285,144.8694,7,3464
3,1,715000,2,13.5,3042,3,2,2,422,126,1995,22,-37.7164,144.8792,7,3464
3,2,540000,4,13.5,3042,2,2,1,161,101,2010,22,-37.7231,144.8802,7,3464
3,2,825000,4,13.5,3042,3,2,1,293,102,1960,22,-37.72,144.8776,7,3464
3,1,685000,2,13.5,3042,3,1,1,579,113,1975,22,-37.7226,144.8733,7,3464
4,1,900000,2,13.5,3042,4,2,3,628,146,1975,22,-37.7256,144.8739,7,3464
2,1,1275000,2,3.3,3206,2,1,0,120,82,1900,25,-37.8459,144.9555,6,3280
3,1,2850000,1,3.3,3206,3,2,0,211,198,1890,25,-37.8481,144.9499,6,3280
3,1,1850000,2,3.3,3206,3,2,0,128,133,1890,25,-37.8452,144.9488,6,3280
2,1,1436000,2,3.3,3206,2,1,0,130,81,1900,25,-37.8431,144.9565,6,3280
4,1,2300000,2,3.3,3206,4,2,1,153,180,1880,25,-37.8447,144.9523,6,3280
3,1,1800000,5,3.3,3206,3,2,1,132,159,1996,25,-37.8415,144.952,6,3280
